Decepticonth Project Report

========================================


            Time Spent
   Date       (hours)   Description of Work
----------  ----------  -------------------------
2025-12-05      .3	Plan what is going to my project for, plan and sumbmit Proposal
2025-12-06      .7	Start Programming the root
2025-12-06	.2	Searching How to create an input label for letters
2025-12-06	.12	Programming the display
2025-12-06	.5	Finding out how to search a document (With Tkinter is the answer) https://www.pythontutorial.net/tkinter/tkinter-open-file-dialog/
2025-12-06	.12	Programming the display
2025-12-06	.8 	Programming funcion open_file and fixing bugs
2025-12-06	.10	Planning what else to do to accomplish the project
2025-12-06	.2	Trying to display en perform correctly the comparation between the name and the file, I stopped, I would continue tomorrow.
2025-12-07	.9 	Debugging label button
2025-12-07	.13 	After a Break, I debugged a button
2025-12-07	.2 	Investigating How to keep the information of the documents
2025-12-07	.4 	Investigating How to fix and fixing the opening document, it was giving just single letters instead words
2025-12-07	.9 	Investigating and fixing how to clean the word to make it match
2025-12-07	.1 	Verifying everything is OK
========================================

