Decepticonth Project Report

========================================


   example: 1:30 1 Hour and 30 minutes

   Date     Time Spent   Description of Work
----------  ----------  -------------------------
2025-12-05  0:18	Plan what is going to my project for, plan and submit Proposal
2025-12-06  0:42	Start Programming the root
2025-12-06	0:12	Searching How to create an input label for letters
2025-12-06	0:07 	Programming the display
2025-12-06	0:30	Finding out how to search a document (With Tkinter is the answer) https://www.pythontutorial.net/tkinter/tkinter-open-file-dialog/
2025-12-06	0:07	Programming the display
2025-12-06	0:48 	Programming function open_file and fixing bugs
2025-12-06	0:06	Planning what else to do to accomplish the project
2025-12-06	0:12 	Trying to display en perform correctly the comparison between the name and the file, I stopped, I would continue tomorrow.
2025-12-07	0:54 	Debugging label button
2025-12-07	0:08 	After a Break, I debugged a button
2025-12-07	0:12 	Investigating How to keep the information of the documents
2025-12-07	0:24 	Investigating How to fix and fixing the opening document, it was giving just single letters instead words
2025-12-07	0:54 	Investigating and fixing how to clean the word to make it match
2025-12-07	0:06 	Verifying everything is OK.
2025-12-07	0:23 	Fixing the report and reviewing the requirements of the program
2025-12-07	0:02  Investigating About to link the key enter to run the program	
2025-12-08	0:46  Adding try and except to cover any possible bugs and fixing the output message because before it was overwriting each other making a visual bugs
2025-12-08	0:03  writing the report
2025-12-08	0:45  Adding a function to link my website, and debugging some functions like when you added spaces, it was not supported, also, I added a message at the top to be precise with the upper cases because in some cases like french the upper cases are important
========================================

